sku,name,category_id,description,unit,cost_price,selling_price,quantity_in_stock,minimum_stock_level,maximum_stock_level,reorder_point,reorder_quantity,location,brand,model,warranty_period,is_serialized,created_by
ELEC001,Apple Laptop Pro-427,1,Apple Laptop (Pro-427) for electronics category,pcs,2450.00,3490.00,15,5,50,10,20,A1-01,Apple,Pro-427,24,TRUE,1
ELEC002,Dell Laptop Ultra-318,1,Dell Laptop (Ultra-318) for electronics category,pcs,1990.00,2890.00,20,5,60,12,25,A1-02,Dell,Ultra-318,36,TRUE,1
ELEC003,HP Desktop Max-512,1,HP Desktop (Max-512) for electronics category,pcs,1200.00,1650.00,18,8,40,10,15,A1-03,HP,Max-512,12,TRUE,1
ELEC004,Apple Laptop Pro-128,1,Apple Laptop (Pro-128) for electronics category,pcs,2300.00,3250.00,12,5,50,8,18,A1-04,Apple,Pro-128,24,TRUE,1
ELEC005,Dell Laptop Ultra-942,1,Dell Laptop (Ultra-942) for electronics category,pcs,2100.00,3050.00,22,8,60,15,22,A1-05,Dell,Ultra-942,36,TRUE,1
ELEC006,HP Desktop Max-331,1,HP Desktop (Max-331) for electronics category,pcs,1250.00,1700.00,20,8,40,12,18,A1-06,HP,Max-331,12,TRUE,1
ELEC007,Apple Laptop Pro-678,1,Apple Laptop (Pro-678) for electronics category,pcs,2550.00,3550.00,16,5,50,10,20,A1-07,Apple,Pro-678,24,TRUE,1
ELEC008,Dell Laptop Ultra-415,1,Dell Laptop (Ultra-415) for electronics category,pcs,2050.00,2950.00,18,5,60,12,24,A1-08,Dell,Ultra-415,36,TRUE,1
ELEC009,HP Desktop Max-208,1,HP Desktop (Max-208) for electronics category,pcs,1300.00,1750.00,15,8,40,10,16,A1-09,HP,Max-208,12,TRUE,1
ELEC010,Apple Laptop Pro-834,1,Apple Laptop (Pro-834) for electronics category,pcs,2400.00,3450.00,14,5,50,9,19,A1-10,Apple,Pro-834,24,TRUE,1
MON001,Samsung 4K Monitor Ultra-229,2,Samsung 4K Monitor (Ultra-229) for monitors & displays,pcs,350.00,520.00,25,10,70,15,30,B1-01,Samsung,Ultra-229,36,FALSE,1
MON002,LG UltraWide Monitor Elite-746,2,LG UltraWide Monitor (Elite-746) for monitors & displays,pcs,420.00,599.00,22,8,60,14,20,B1-02,LG,Elite-746,24,FALSE,1
MON003,Dell UltraSharp Monitor Pro-931,2,Dell UltraSharp Monitor (Pro-931) for monitors & displays,pcs,399.00,560.00,28,10,70,18,28,B1-03,Dell,Pro-931,36,FALSE,1
MON004,ASUS Gaming Monitor Max-552,2,ASUS Gaming Monitor (Max-552) for monitors & displays,pcs,480.00,650.00,20,10,65,15,25,B1-04,ASUS,Max-552,24,FALSE,1
MON005,HP Business Monitor Elite-310,2,HP Business Monitor (Elite-310) for monitors & displays,pcs,300.00,450.00,26,12,70,18,28,B1-05,HP,Elite-310,36,FALSE,1
AUD001,Sony Wireless Headphones Air-684,3,Sony Wireless Headphones (Air-684) for audio equipment,pcs,150.00,240.00,40,15,100,20,30,C1-01,Sony,Air-684,24,FALSE,1
AUD002,Bose Bluetooth Speaker Pro-885,3,Bose Bluetooth Speaker (Pro-885) for audio equipment,pcs,180.00,270.00,35,10,80,15,25,C1-02,Bose,Pro-885,12,FALSE,1
AUD003,Apple Earbuds Max-513,3,Apple Earbuds (Max-513) for audio equipment,pcs,120.00,200.00,50,20,110,25,35,C1-03,Apple,Max-513,12,FALSE,1
AUD004,JBL Portable Speaker Ultra-244,3,JBL Portable Speaker (Ultra-244) for audio equipment,pcs,90.00,150.00,60,25,120,30,40,C1-04,JBL,Ultra-244,24,FALSE,1
AUD005,Sennheiser Studio Headphones Elite-192,3,Sennheiser Studio Headphones (Elite-192) for audio equipment,pcs,200.00,290.00,45,18,90,22,32,C1-05,Sennheiser,Elite-192,24,FALSE,1
AUD006,Logitech USB Microphone Air-382,3,Logitech USB Microphone (Air-382) for audio equipment,pcs,85.00,140.00,38,15,80,20,28,C1-06,Logitech,Air-382,24,FALSE,1
AUD007,Audio-Technica Headphones Max-418,3,Audio-Technica Headphones (Max-418) for audio equipment,pcs,110.00,180.00,44,18,90,22,30,C1-07,Audio-Technica,Max-418,24,FALSE,1
AUD008,Rode Broadcast Mic Elite-625,3,Rode Broadcast Microphone (Elite-625) for audio equipment,pcs,140.00,220.00,32,12,70,18,26,C1-08,Rode,Elite-625,24,FALSE,1
AUD009,Yamaha Studio Monitor Air-908,3,Yamaha Studio Monitor (Air-908) for audio equipment,pcs,170.00,260.00,28,10,60,15,22,C1-09,Yamaha,Air-908,36,FALSE,1
AUD010,Focusrite Audio Interface Pro-312,3,Focusrite Audio Interface (Pro-312) for audio equipment,pcs,95.00,150.00,36,15,80,20,28,C1-10,Focusrite,Pro-312,24,FALSE,1
INP001,Logitech Wireless Mouse Max-746,4,Logitech Wireless Mouse (Max-746) for input devices,pcs,60.00,95.00,90,35,150,45,65,D1-01,Logitech,Max-746,24,FALSE,1
INP002,Apple Magic Keyboard Pro-214,4,Apple Magic Keyboard (Pro-214) for input devices,pcs,140.00,190.00,65,25,120,35,50,D1-02,Apple,Pro-214,12,FALSE,1
INP003,Corsair Mechanical Keyboard Elite-732,4,Corsair Mechanical Keyboard (Elite-732) for input devices,pcs,150.00,210.00,42,18,80,25,35,D1-03,Corsair,Elite-732,24,FALSE,1
INP004,Razer Gaming Mouse Ultra-902,4,Razer Gaming Mouse (Ultra-902) for input devices,pcs,65.00,99.00,88,35,150,45,65,D1-04,Razer,Ultra-902,24,FALSE,1
